english,igala_primary,igala_variations,contributor,region,verified
dance,ido,,Ramat,Kogi East Agbale,yes
sing,keli,,Ramat,Kogi East Agbale,yes
carry,du,,Ramat,Kogi East Agbale,yes
push,kọchẹ,,Ramat,Kogi East Agbale,yes
pull,wọ,,Ramat,Kogi East Agbale,yes
open,bi,,Ramat,Kogi East Agbale,yes
close,re,,Ramat,Kogi East Agbale,yes
return,dudabi,,Ramat,Kogi East Agbale,yes
left,awoi,"afoi",Ramat,Kogi East Agbale,yes
right,awọtọ,,Ramat,Kogi East Agbale,yes
up,atẹ,,Ramat,Kogi East Agbale,yes
down,ọganẹ,,Ramat,Kogi East Agbale,yes
here,emi,,Ramat,Kogi East Agbale,yes
there,ọmọ,,Ramat,Kogi East Agbale,yes
now,abajoi,"ajoi",Ramat,Kogi East Agbale,yes
later,edẹpẹ,"chẹgbatugba",Ramat,Kogi East Agbale,yes
always,ikodu,,Ramat,Kogi East Agbale,yes
never,otitala,,Ramat,Kogi East Agbale,yes
early,ika,,Ramat,Kogi East Agbale,yes
late,ekpikobiẹ,,Ramat,Kogi East Agbale,yes
before,kwobi,,Ramat,Kogi East Agbale,yes
after,ubianẹ,,Ramat,Kogi East Agbale,yes
soon,emẹranẹ,,Ramat,Kogi East Agbale,yes
sand,ẹkẹtẹ,,Ramat,Kogi East Agbale,yes
grass,ègbe,,Ramat,Kogi East Agbale,yes
bush,éfoko,,Ramat,Kogi East Agbale,yes
forest,égbili,,Ramat,Kogi East Agbale,yes
sea,itekwu,,Ramat,Kogi East Agbale,yes
lake,apata,,Ramat,Kogi East Agbale,yes
hill,uwo,,Ramat,Kogi East Agbale,yes
smoke,odudu,,Ramat,Kogi East Agbale,yes
ash,èlulu,,Ramat,Kogi East Agbale,yes
mud,ama,,Ramat,Kogi East Agbale,yes
dust,ébutu,,Ramat,Kogi East Agbale,yes
shadow,ojiji,,Ramat,Kogi East Agbale,yes
how are you?,ab'ele?,,Ramat,Kogi East Agbale,yes
i am fine,uchugbede,,Ramat,Kogi East Agbale,yes
what is your name?,ẹnwu choduwẹ?,,Ramat,Kogi East Agbale,yes
where are you going?,ugbo ẹlo?,,Ramat,Kogi East Agbale,yes
come back,wèmi,,Ramat,Kogi East Agbale,yes
i am hungry,ebi akpa mi,,Ramat,Kogi East Agbale,yes
i am tired,ọlami chẹ kpa,,Ramat,Kogi East Agbale,yes
thank you very much,wọla ukọlọ,,Ramat,Kogi East Agbale,yes
god bless you,ọjọ kidenyọ wẹ,,Ramat,Kogi East Agbale,yes
i love you,nafẹdọ wẹ,,Ramat,Kogi East Agbale,yes
where is the market?,ugbo aja dẹ?,,Ramat,Kogi East Agbale,yes
what is the price?,onu chẹjẹnwu?,,Ramat,Kogi East Agbale,yes
i do not understand,inẹru mi èjunwu,,Ramat,Kogi East Agbale,yes
please help me,agba chatẹkomi,,Ramat,Kogi East Agbale,yes
have a good day,enyọ kí dẹ kpai uwẹ engini,,Ramat,Kogi East Agbale,yes
head,oji,"ọji",Jude,Dekina,yes
eye,eju,"èju",Jude,Dekina,yes
ear,eti,"èti",Jude,Dekina,yes
nose,iñmọ,"inmọ",Jude,Dekina,yes
mouth,alu,,Jude,Dekina,yes
tongue,ukpalu,"upkalu",Jude,Dekina,yes
tooth,enyi,"enyì",Jude,Dekina,yes
neck,ọfa,"olọ",Jude,Dekina,yes
shoulder,ojika,"ojíká",Jude,Dekina,yes
hand,ọwọ,"owo",Jude,Dekina,yes
